publication_date,coach,name,prompt,left_option,right_option
7842,automatic,Yvonne West,difference,They were dancing,They danced
7843,automatic,Maddie Garner,difference,that,those
7843,automatic,Martin Hale,difference,discuss sth,discuss about sth
7843,automatic,Fabian Bell,difference,back,come back
7843,automatic,Fabian Bell,difference,I said I was hungry,I said I had been hungry
7843,automatic,Claudine Gross,difference,make sb do sth,make sb to do sth
7843,automatic,Claudine Gross,difference,by,until
7843,automatic,Claudine Gross,difference,worse,worst
7843,automatic,Claudine Gross,difference,while,during
7843,automatic,Martha Owen,change,for,
7843,automatic,Martha Owen,past,fall,
7843,automatic,Martha Owen,position,yesterday,
7843,automatic,Martha Owen,difference,I would have called you,I would call you
7843,automatic,Martha Owen,comma before,and,
7843,automatic,Martha Owen,difference,this,these
7843,automatic,Martha Owen,difference,want,would like
7843,automatic,Martha Owen,comma before,if,
7843,automatic,Martha Owen,difference,regulary,regularly
7843,automatic,Margaret Morgan,difference,I will explain you,I will explain to you
7843,automatic,Margaret Morgan,difference,practice,practise
7843,automatic,Margaret Morgan,difference,by,till
7843,automatic,Matt Carpenter,difference,that,those
7843,automatic,Matt Carpenter,difference,childrens,children
7843,automatic,Matt Carpenter,difference,I started study,I started studying
7843,automatic,Matt Carpenter,past,fall,
7843,automatic,Matt Carpenter,difference,house,home
7844,automatic,Anette Gray,difference,I will explain you,I will explain to you
7844,automatic,Anette Gray,difference,discuss sth,discuss about sth
7844,automatic,Anette Gray,difference,tell,say
7844,automatic,Anette Gray,past,shoot,
7844,automatic,Anette Gray,difference,stop to do sth,stop doing sth
7844,automatic,Greg Hardy,pronunciation,/ɑ/,
7844,automatic,Greg Hardy,past,do,
7844,automatic,Greg Hardy,difference,woman,women
7844,automatic,Greg Hardy,difference,call sb,call to sb
7844,automatic,Greg Hardy,difference,I demanded you to do that,I demanded that you do that
7844,automatic,Greg Hardy,difference,choose,choice
7844,automatic,Chris Ray,tense,plan,
7844,automatic,Chris Ray,comma after,I promise,
7844,automatic,Chris Ray,difference,eat a breakfast,eat breakfast
7844,automatic,Chris Ray,difference,study,learn
7844,automatic,Sophie Farmer,difference,I would eat,I would have eaten
7844,automatic,Sophie Farmer,difference,have evidence,have an evidence
7844,automatic,Sophie Farmer,comma before,if,
7844,automatic,Margaret Ford,difference,story,history
7844,automatic,Margaret Ford,difference,eat candy,eat candies
7844,automatic,Adrianne Nelson,difference,I like ride a bike,I like riding a bike
7844,automatic,Adrianne Nelson,difference,another,other
7844,automatic,Yvonne West,difference,during,while
7844,automatic,Yvonne West,difference,need help,need a help
7844,automatic,Yvonne West,comma before,so,
7844,automatic,Yvonne West,comma before,and,
7844,automatic,Ursula Mitchell,difference,this,these
7844,automatic,Ursula Mitchell,difference,tell,say
7844,automatic,Anna Patton,difference,go out,leave
7844,automatic,Anna Patton,difference,look for information,look for an information
7844,automatic,Anna Patton,difference,more information,more informations
7844,automatic,Anna Patton,difference,I have learned,I learned
7844,automatic,Anna Patton,difference,It would be easier,It would have been easier
7844,automatic,Anna Patton,difference,on the weekends,on weekends
7850,automatic,Agnes Chapman,past,hide,
7850,automatic,Agnes Chapman,difference,lose,loose
7850,automatic,Agnes Chapman,difference,I was talking with you,I talked with you
7850,automatic,Agnes Chapman,conjugation,be,
7850,automatic,George West,difference,while,during
7850,automatic,Martin Hale,difference,worse,worst
7850,automatic,Martin Hale,difference,buy an equipment,buy equipment
7850,automatic,Martin Hale,difference,have information,have an information
7850,automatic,Martin Hale,difference,their,theirs
7850,automatic,Martin Hale,difference,this,these
7850,automatic,Martin Hale,past,come,
7850,automatic,Martin Hale,past,choose,
7850,automatic,Martin Hale,past,split,
7850,automatic,Fabian Bell,difference,do a research,do research
7850,automatic,Margaret Morgan,difference,I said I was hungry,I said I had been hungry
7850,automatic,Margaret Morgan,past,throw,
7850,automatic,Margaret Morgan,difference,It's a problem,There's a problem
7850,automatic,Margaret Morgan,comma after,I was sure,
7850,automatic,Margaret Morgan,comma before,that,
7850,automatic,Martha Owen,conjugation,come,
7850,automatic,Martha Owen,conjugation,choose,
7850,automatic,Martha Owen,difference,give sb advice,give sb advices
7850,automatic,Martha Owen,difference,at the table,on the table
7850,automatic,Martha Owen,difference,by,until
7850,automatic,Margaret Ford,difference,while,during
7850,automatic,Margaret Ford,past,bite,
7850,automatic,Margaret Ford,comma before,if,
7850,automatic,Margaret Ford,difference,go out,leave
7850,automatic,Margaret Ford,difference,I left,I was leaving
7850,automatic,Margaret Ford,comma before,that,
7850,automatic,Margaret Ford,difference,have a lunch,have lunch
7850,automatic,Margaret Ford,position,finally,
7850,automatic,Matt Carpenter,difference,child,children
7850,automatic,Matt Carpenter,difference,discuss sth,discuss about sth
7850,automatic,Matt Carpenter,difference,I should to go,I should go
7850,automatic,Matt Carpenter,conjugation,leave,
7850,automatic,Matt Carpenter,difference,an,a
7850,automatic,Matt Carpenter,difference,this,that
7850,automatic,Matt Carpenter,difference,these,this
7850,automatic,Matt Carpenter,difference,last month,in the past month
7850,automatic,Matt Carpenter,difference,could,can
7850,automatic,Matt Carpenter,comma before,that,
7850,automatic,Matt Carpenter,change,of,
7850,automatic,Matt Carpenter,change,for,
7851,automatic,Anette Gray,difference,woman,women
7851,automatic,Anette Gray,difference,during,while
7851,automatic,Greg Hardy,past,find,
7851,automatic,Greg Hardy,past,fly,
7851,automatic,Greg Hardy,difference,I will explain you,I will explain to you
7851,automatic,Greg Hardy,past,catch,
7851,automatic,Greg Hardy,past,go,
7851,automatic,Greg Hardy,past,steal,
7851,automatic,Yvonne West,position,always,
7851,automatic,Yvonne West,difference,an,a
7851,automatic,Yvonne West,comma after,I told you,
7851,automatic,Chris Ray,past,can,
7851,automatic,Chris Ray,position,regularly,
7851,automatic,Sophie Farmer,change,for,
7851,automatic,Sophie Farmer,past,hide,
7851,automatic,Sophie Farmer,comma before,so,
7851,automatic,Sophie Farmer,position,never,
7851,automatic,Adrianne Nelson,difference,different,other
7851,automatic,Adrianne Nelson,difference,an,a
7851,automatic,Adrianne Nelson,change,about,
7851,automatic,Adrianne Nelson,change,before,
7851,automatic,Adrianne Nelson,difference,stay,become
7851,automatic,Michael Stewart,difference,study,learn
7851,automatic,Adam Hunt,difference,mention about sth,mention sth
7851,automatic,Anna Patton,comma before,and,
7851,automatic,Anna Patton,difference,yet,already
7852,automatic,Ursula Mitchell,difference,woman,women
7852,automatic,Ursula Mitchell,difference,this,these
7852,automatic,Ursula Mitchell,past,can,
7852,automatic,Ursula Mitchell,past,say,
7852,automatic,Ursula Mitchell,past,know,
7852,automatic,Ursula Mitchell,past,meet,
7852,automatic,Gabriel Griffin,past,fly,
7852,automatic,Gabriel Griffin,past,pay,
7852,automatic,Gabriel Griffin,past,buy,
7857,automatic,Agnes Chapman,difference,every people,every person
7857,automatic,Yvonne West,past,talk,
7857,automatic,Yvonne West,difference,go out,leave
7857,automatic,Yvonne West,difference,him,his
7857,automatic,Gabriel Griffin,past,want,
7857,automatic,Martin Hale,difference,handle sth,handle with sth
7857,automatic,Martin Hale,past,shoot,
7857,automatic,Martin Hale,past,catch,
7857,automatic,Martin Hale,difference,It's a problem,There's a problem
7857,automatic,Martin Hale,comma before,and,
7857,automatic,Martin Hale,past,split,
7857,automatic,Martin Hale,comma before,so,
7857,automatic,Ursula Drake,difference,this,these
7857,automatic,Claudine Gross,difference,so,such
7857,automatic,Claudine Gross,difference,I'm listening you,I'm listening to you
7857,automatic,Claudine Gross,position,already,
7857,automatic,Claudine Gross,difference,that,those
7857,automatic,Martha Owen,comma before,if,
7857,automatic,Martha Owen,position,anymore,
7857,automatic,Martha Owen,past,come,
7857,automatic,Martha Owen,difference,who,which
7857,automatic,Margaret Morgan,difference,feel well,feel good
7857,automatic,Margaret Morgan,difference,I did my homework,I was doing my homework
7857,automatic,Margaret Morgan,comma before,when,
7857,automatic,Margaret Morgan,conjugation,get,
7857,automatic,Matt Carpenter,conjugation,choose,
7857,automatic,Matt Carpenter,past,choose,
7857,automatic,Matt Carpenter,conjugation,drink,
7857,automatic,Matt Carpenter,past,grow,
7857,automatic,Matt Carpenter,difference,him,his
7858,automatic,Anette Gray,change,with,
7858,automatic,Anette Gray,difference,chef,chief
7858,automatic,Anette Gray,difference,Let me to help you,Let me help you
7858,automatic,Greg Hardy,difference,town,city
7858,automatic,Greg Hardy,difference,mention about sth,mention sth
7858,automatic,Greg Hardy,difference,look for evidence,look for an evidence
7858,automatic,Greg Hardy,comma before,because,
7858,automatic,Greg Hardy,comma before,if,
7858,automatic,Greg Hardy,difference,safe,save
7858,automatic,Greg Hardy,difference,this,these
7858,automatic,George West,change,of,
7858,automatic,George West,difference,contain,include
7858,automatic,George West,difference,job,work
7858,automatic,George West,difference,come up with a story,make up a story
7858,automatic,George West,past,fall,
7858,automatic,George West,difference,realize,realise
7858,automatic,George West,comma before,that,
7858,automatic,George West,difference,hear gossips,hear gossip
7858,automatic,Greg Benson,difference,hear gossips,hear gossip
7858,automatic,Greg Benson,conjugation,speak,
7858,automatic,Greg Benson,change,for,
7858,automatic,Greg Benson,conjugation,ring,
7858,automatic,Margaret Ford,change,for,
7858,automatic,Margaret Ford,difference,contain,include
7858,automatic,Margaret Ford,past,send,
7858,automatic,Margaret Ford,difference,colleague,friend
7858,automatic,Anna Patton,difference,yet,already
7858,automatic,Anna Patton,position,already,
7858,automatic,Anna Patton,comma before,if,
7859,automatic,Adam Hunt,comma before,because,
7859,automatic,Adam Hunt,difference,break,brake
7859,automatic,Adam Hunt,difference,buy furniture,buy a furniture
7864,automatic,Agnes Chapman,difference,simply,simple
7864,automatic,Agnes Chapman,comma before,because,
7864,automatic,Agnes Chapman,comma before,and,
7864,automatic,Agnes Chapman,difference,few,a few
7864,automatic,George West,position,yesterday,
7864,automatic,George West,difference,weigh,weight
7864,automatic,George West,difference,start smoking,start to smoke
7864,automatic,George West,difference,email,e-mail
7864,automatic,George West,past,fit,
7864,automatic,Greg Hardy,position,first,
7864,automatic,Greg Hardy,difference,prepare,make
7864,automatic,Greg Hardy,comma before,to,
7864,automatic,Kamil Moody,past,steal,
7864,automatic,Kamil Moody,past,lose,
7864,automatic,Kamil Moody,past,fight,
7864,automatic,Kamil Moody,comma before,so,
7864,automatic,Kamil Moody,past,spend,
7864,automatic,Kamil Moody,comma before,and,
7864,automatic,Martin Hale,past,do,
7864,automatic,Martin Hale,difference,by,until
7864,automatic,Martin Hale,past,cast,
7864,automatic,Martin Hale,difference,find,find out
7864,automatic,Martin Hale,position,already,
7864,automatic,Martin Hale,difference,few,a few
7864,automatic,Martin Hale,position,again,
7864,automatic,Martin Hale,conjugation,get,
7864,automatic,Fabian Bell,past,spit,
7864,automatic,Fabian Bell,difference,affect on sth,affect sth
7864,automatic,Claudine Gross,difference,this,these
7864,automatic,Michael Stewart,position,still,
7864,automatic,Michael Stewart,difference,I haven't seen you for a long time,I haven't seen you in a long time
7865,automatic,Anette Gray,difference,become,stay
7865,automatic,Anette Gray,position,usually,
7865,automatic,Anette Gray,difference,customer,client
7865,automatic,Anette Gray,difference,few,a few
7865,automatic,Anette Gray,comma before,when,
7865,automatic,Gabriel Griffin,difference,simply,simple
7865,automatic,Yvonne West,difference,life,live
7865,automatic,Yvonne West,difference,parent's,parents'
7865,automatic,Chris Ray,past,do,
7865,automatic,Chris Ray,difference,town,city
7865,automatic,Chris Ray,difference,simply,simple
7865,automatic,Greg Benson,difference,borrow,lend
7865,automatic,Greg Benson,difference,mum,mom
7865,automatic,Greg Benson,conjugation,be,
7865,automatic,Adrianne Nelson,past,stay,
7865,automatic,Adrianne Nelson,past,fall,
7865,automatic,Adrianne Nelson,past,feel,
7865,automatic,Adrianne Nelson,difference,few,a few
7865,automatic,Adrianne Nelson,difference,man,men
7865,automatic,Adrianne Nelson,difference,woman,women
7865,automatic,Margaret Morgan,comma before,that,
7865,automatic,Margaret Morgan,position,finally,
7865,automatic,Adam Hunt,difference,cheat sb,cheat on sb
7865,automatic,Anna Patton,difference,find out,get to know
7865,automatic,Anna Patton,difference,by,with
7871,automatic,Agnes Chapman,difference,I haven't,I don't have
7871,automatic,Agnes Chapman,comma before,because,
7871,automatic,Agnes Chapman,conjugation,get,
7871,automatic,Agnes Chapman,change,for,
7871,automatic,Agnes Chapman,change,after,
7871,automatic,Agnes Chapman,conjugation,see,
7871,automatic,Agnes Chapman,difference,parent's,parents'
7871,automatic,Agnes Chapman,difference,man,men
7871,automatic,Agnes Chapman,comma before,if,
7871,automatic,George West,conjugation,drink,
7871,automatic,George West,difference,I have done,I had done
7871,automatic,George West,difference,another,the other
7871,automatic,George West,difference,the pandemy,the pandemic
7871,automatic,Gabriel Griffin,difference,want,went
7871,automatic,Gabriel Griffin,past,give,
7871,automatic,Gabriel Griffin,past,win,
7871,automatic,Martin Hale,difference,near to me,near me
7871,automatic,Martin Hale,position,mostly,
7871,automatic,Martin Hale,difference,everyday,every day
7871,automatic,Kate Roberts,comma before,so,
7871,automatic,Kate Roberts,difference,as,like
7871,automatic,Fabian Bell,past,throw,
7871,automatic,Fabian Bell,difference,ago,before
7871,automatic,Fabian Bell,difference,realize,realise
7871,automatic,Fabian Bell,conjugation,run,
7871,automatic,Fabian Bell,conjugation,forget,
7871,automatic,Fabian Bell,position,yesterday,
7871,automatic,Fabian Bell,difference,the police has,the police have
7871,automatic,Claudine Gross,past,fall,
7871,automatic,Claudine Gross,past,feel,
7871,automatic,Alexandra King,difference,busier,the busiest
7871,automatic,Margaret Morgan,difference,back,come back
7871,automatic,Margaret Morgan,change,with,
7871,automatic,Margaret Morgan,comma before,if,
7871,automatic,Margaret Morgan,difference,neighbor,neighbour
7871,automatic,Martin Lemons,past,watch,
7871,automatic,Martin Lemons,difference,little,less
7871,automatic,Martin Lemons,past,have,
7871,automatic,Matt Carpenter,difference,another,the other
7871,automatic,Martin Lemons,past,take,
7871,automatic,Martin Lemons,past,eat,
7871,automatic,Matt Carpenter,difference,this,that
7872,automatic,Greg Hardy,difference,some,a
7872,automatic,Yvonne West,difference,trip,travel
7872,automatic,Greg Benson,difference,teach,learn
7872,automatic,Greg Benson,difference,this,these
7872,automatic,Margaret Ford,difference,town,city
7872,automatic,Justina Carson,comma before,so,
7872,automatic,Adrianne Nelson,difference,who,which
7872,automatic,Adrianne Nelson,difference,any,no
7872,automatic,Adrianne Nelson,comma before,when,
7872,automatic,Michael Stewart,change,after,
7872,automatic,David Powers,past,choose,
7872,automatic,David Powers,past,catch,
7872,automatic,David Powers,past,run,
7872,automatic,David Powers,difference,ago,before
7872,automatic,David Powers,past,take,
7872,automatic,David Powers,comma before,that,
7872,automatic,Anna Patton,difference,ago,before
7873,automatic,Jack Carter,past,spend,
7873,automatic,Julia Griffin,past,find,
7873,automatic,Julia Griffin,difference,must,have to
7874,automatic,Sergius Pittman,difference,many,much
7874,automatic,Sergius Pittman,difference,until,to
7874,automatic,Joe Doe,synonym,cancel,
7874,automatic,Joe Doe,custom question,10,
7877,automatic,Joanna Green,difference,this,that
7877,automatic,Joanna Green,difference,these,those
7877,automatic,Alexandra King,past,hide,
7877,automatic,Przemyslaw Curry,past,lose,
7878,automatic,Agnes Chapman,change,about,
7878,automatic,Agnes Chapman,difference,come,came
7878,automatic,George West,difference,learn,get to know
7878,automatic,George West,difference,somebody,someone
7878,automatic,George West,difference,turn down it,turn it down
7878,automatic,George West,past,drink,
7878,automatic,George West,position,also,
7878,automatic,George West,difference,study,learn
7878,automatic,George West,conjugation,stick,
7878,automatic,George West,difference,in hospital,in the hospital
7878,automatic,Martin Hale,position,finally,
7878,automatic,Kate Roberts,difference,as,like
7878,automatic,Claudine Gross,difference,candy,sweets
7878,automatic,Martha Owen,difference,meet,
7878,automatic,Martha Owen,position,still,
7878,automatic,Martha Owen,difference,previously,previous
7878,automatic,Martha Owen,position,regularly,
7878,automatic,Michael Stewart,difference,Let me to help you,Let me help you
7878,automatic,Michael Stewart,difference,love travel,love traveling
7878,automatic,Michael Stewart,conjugation,build,
7878,automatic,Michael Stewart,conjugation,dig,
7878,automatic,Michael Stewart,difference,worse,worst
7878,automatic,Michael Stewart,difference,I have done my homework,I did my homework
7878,automatic,Michael Stewart,comma before,but,
7878,automatic,Michael Stewart,conjugation,would,
7878,automatic,Michael Stewart,difference,two thousands,two thousand
7878,automatic,Martin Lemons,past,break,
7878,automatic,Martin Lemons,past,get up,
7878,automatic,Matt Carpenter,past,choose,
7878,automatic,Matt Carpenter,difference,back,come back
7878,automatic,Martin Lemons,past,go,
7878,automatic,Martin Lemons,past,take,
7878,automatic,Martin Lemons,difference,good,bad
7878,automatic,Matt Carpenter,past,catch,
7879,automatic,Yvonne West,past,sing,
7879,automatic,Chris Ray,difference,during,while
7879,automatic,Chris Ray,difference,What do you eat,What are you eating
7879,automatic,Chris Ray,difference,call sb,call to sb
7879,automatic,Chris Ray,difference,few,a few
7879,automatic,Greg Benson,difference,in a year,for a year
7879,automatic,Greg Benson,difference,cheat sb,cheat on sb
7879,automatic,Greg Benson,past,take,
7879,automatic,Greg Benson,past,choose,
7879,automatic,Justina Carson,past,hide,
7879,automatic,Justina Carson,past,choose,
7879,automatic,Margaret Ford,change,on,
7879,automatic,Margaret Ford,change,with,
7879,automatic,Agatha Olson,difference,bored,boring
7879,automatic,Margaret Morgan,difference,stay home,stay at home
7879,automatic,Margaret Morgan,conjugation,stick,
7879,automatic,Adam Hunt,difference,two million,two millions
7879,automatic,Adam Hunt,difference,do research,do researches
7879,automatic,Przemyslaw Curry,difference,their,them
7879,automatic,Anna Patton,past,fight,
7879,automatic,Anna Patton,past,shoot,
7879,automatic,Anna Patton,past,grow,
7879,automatic,Anna Patton,difference,grow,grow up
7879,automatic,David Powers,difference,impressive,impressed
7879,automatic,Anna Patton,conjugation,throw,
7879,automatic,Anna Patton,difference,this,these
7880,automatic,Jack Fuller,difference,this,that
7880,automatic,Jack Fuller,difference,these,those
7884,automatic,Martin Hale,past,grow,
7884,automatic,Joanna Green,difference,I will go shopping.,I'm going to go shopping.
7884,automatic,Alexandra King,difference,adopt,adapt
7884,automatic,Michael Stewart,difference,until,to
7885,automatic,Kate Roberts,change,safe,
7885,automatic,Kate Roberts,difference,I was,I've been
7885,automatic,Kate Roberts,position,before,
7885,automatic,Kate Roberts,comma before,because,
7885,automatic,Claudine Gross,past,come,
7885,automatic,Claudine Gross,past,sit,
7885,automatic,Claudine Gross,difference,that,those
7885,automatic,Kate Long,difference,low,law
7885,automatic,Kate Long,difference,that,those
7885,automatic,Martha Owen,difference,different,difference
7885,automatic,Martha Owen,position,still,
7885,automatic,Martha Owen,difference,tell,say
7885,automatic,Martha Owen,difference,some,a
7885,automatic,Martha Owen,conjugation,know,
7885,automatic,Martha Owen,difference,how,what
7885,automatic,Martha Owen,difference,stay,stand
7885,automatic,Margaret Morgan,difference,come back home,come back to home
7885,automatic,Margaret Morgan,past,shoot,
7885,automatic,Margaret Morgan,difference,every people,every person
7885,automatic,Margaret Morgan,difference,found,founded
7885,automatic,Margaret Morgan,difference,drank,drunk
7885,automatic,Margaret Morgan,past,show,
7885,automatic,Margaret Morgan,conjugation,come,
7885,automatic,Matt Carpenter,difference,the Germany,Germany
7885,automatic,Matt Carpenter,difference,visit to you,visit you
7886,automatic,Anette Gray,past,sit,
7886,automatic,Anette Gray,past,fly,
7886,automatic,Anette Gray,difference,many,a lot of
7886,automatic,Anette Gray,position,often,
7886,automatic,Anette Gray,comma after,I’m sure,
7886,automatic,Greg Hardy,difference,tell,say
7886,automatic,Agnes Chapman,difference,come,came
7886,automatic,Agnes Chapman,difference,lose,loose
7886,automatic,Agnes Chapman,difference,drank,drunk
7886,automatic,Agnes Chapman,past,drink,
7886,automatic,Agnes Chapman,conjugation,come,
7886,automatic,Agnes Chapman,difference,cheat sb,cheat on sb
7886,automatic,Agnes Chapman,difference,eat dinner,have dinner
7886,automatic,Agnes Chapman,conjugation,forget,
7886,automatic,Chris Ray,difference,few,a few
7886,automatic,Chris Ray,difference,make a dinner,make dinner
7886,automatic,Margaret Ford,difference,bored,boring
7886,automatic,Margaret Ford,comma after,I hoped,
7886,automatic,Margaret Ford,difference,by,until
7886,automatic,Justina Carson,past,lose,
7886,automatic,Justina Carson,difference,many,much
7886,automatic,Claudine Gross,position,already,
7886,automatic,Claudine Gross,difference,e-mail,email
7886,automatic,Claudine Gross,comma before,because,
7886,automatic,Claudine Gross,conjugation,come,
7886,automatic,Justina Watson,difference,like,as
7886,automatic,Claudine Gross,conjugation,give,
7886,automatic,Claudine Gross,comma before,and,
7886,automatic,Justina Watson,difference,these,those
7886,automatic,Justina Watson,difference,this,that
7886,automatic,Adrianne Nelson,past,say,
7886,automatic,Adrianne Nelson,past,shoot,
7886,automatic,Adrianne Nelson,difference,learn,study
7886,automatic,Adrianne Nelson,difference,won’t,want
7886,automatic,Adrianne Nelson,comma before,but,
7886,automatic,Michael Stewart,difference,grow,grow up
7886,automatic,Michael Stewart,past,send,
7886,automatic,Michael Stewart,difference,some,a
7886,automatic,Michael Stewart,past,steal,
7886,automatic,Michael Stewart,difference,I think,I'm thinking
7886,automatic,Adam Hunt,difference,danger,dangerous
7886,automatic,Przemyslaw Curry,past,get,
7886,automatic,Anna Patton,difference,someone,somebody
7886,automatic,Monica Allen,past,meet,
7886,automatic,Monica Allen,difference,interesting,interested
7886,automatic,Anna Patton,pronunciation,/ɑ/,
7886,automatic,Anna Patton,difference,footage,a footage
7886,automatic,Anna Patton,conjugation,fit,
7887,automatic,Marceline Queen,past,teach,
7887,automatic,Marceline Queen,difference,knew,was known
7887,automatic,Claudine Gross,past,fit,
7887,automatic,Jack Fuller,difference,discuss sth,discuss about sth
7891,automatic,Claudine Gross,past,find out,
7891,automatic,Claudine Gross,past,fight,
7891,automatic,Alexandra King,difference,this,that
7892,automatic,Agnes Chapman,conjugation,ride,
7892,automatic,Agnes Chapman,difference,simply,simple
7892,automatic,Agnes Chapman,change,of,
7892,automatic,George West,difference,arrive to Warsaw,arrive in Warsaw
7892,automatic,George West,difference,this,these
7892,automatic,George West,past,choose,
